AAo,R,100
AKs,R,100
AQs,R,100
AJs,R,100
ATs,R,100
A9s,C,43
A8s,C,47
A7s,C,61
A6s,C,47
A5s,C,78
A4s,C,89
A3s,C,57
A2s,C,45
AKo,R,100
KKo,R,100
KQs,R,100
KJs,C,94
KTs,C,0
K9s,C,0
K8s,C,0
K7s,C,0
K6s,C,0
K5s,C,0
K4s,C,0
K3s,C,0
K2s,C,0
AQo,C,52
KQo,C,77
QQo,R,100
QJs,R,100
QTs,C,24
Q9s,C,4
Q8s,C,0
Q7s,C,0
Q6s,C,0
AJo,C,46
KJo,C,0
QJo,C,19
JJo,R,100
JTs,R,100
J9s,C,10
J8s,C,3
J7s,C,0
ATo,C,32
KTo,C,0
QTo,C,0
JTo,C,0
TTo,R,100
T9s,C,91
T8s,C,11
T7s,C,0
A9o,C,0
T9o,C,6
99o,C,28
98s,C,5
97s,C,0
96s,C,0
A8o,C,0
88o,C,81
87s,C,3
86s,C,0
87o,F,6
77o,C,96
76s,C,0
75s,C,0
66o,R,100
65s,C,0
64s,C,0
55o,C,5
54s,C,0
53s,C,0
44o,C,0
43s,C,0
33o,C,0
22o,C,0
