AAo,R,100
AKs,R,100
AQs,C,0
AJs,C,0
ATs,C,0
A9s,C,0
A8s,C,5
A7s,C,10
A6s,C,6
A5s,C,6
A4s,C,9
A3s,C,6
A2s,C,23
AKo,R,100
KKo,C,84
KQs,C,0
KJs,C,0
KTs,C,0
K9s,C,0
K8s,C,0
K7s,C,0
K6s,C,0
AQo,C,0
KQo,C,0
QQo,C,0
QJs,C,0
QTs,C,0
Q9s,C,0
AJo,C,8
KJo,C,5
QJo,C,0
JJo,C,0
JTs,C,0
J9s,C,0
J8s,C,0
J7s,F,6
ATo,C,10
TTo,C,0
T9s,C,0
T8s,C,0
T7s,C,10
T6s,F,24
A9o,F,27
99o,C,0
98s,C,0
97s,C,4
96s,F,24
A8o,F,44
88o,C,0
87s,C,0
86s,C,0
85s,F,64
A7o,F,45
77o,C,0
76s,C,0
75s,C,0
A6o,F,23
66o,C,0
65s,C,0
64s,C,0
A5o,F,28
55o,C,0
54s,C,0
53s,C,0
A4o,F,34
44o,C,0
43s,C,0
33o,C,0
22o,C,4
